Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Media_Base,Ganho_Bruto,Eficiencia_Media
PC_GO_16,Cargo 1,MULTIPLA_5,0.6,0.1,24.627,24.200000000000436,21.0,3.627,0.2266875
PC_GO_16,Cargo 1,MULTIPLA_5,0.6,0.2,22.507,22.20000000000041,19.0,3.507,0.2191875
PC_GO_16,Cargo 1,MULTIPLA_5,0.7,0.05,28.673,28.400000000000468,26.0,2.673,0.22274999999999986
PC_GO_16,Cargo 1,MULTIPLA_5,0.7,0.1,27.686,27.400000000000432,25.0,2.686,0.2238333333333329
PC_GO_16,Cargo 1,MULTIPLA_5,0.7,0.2,24.674,24.400000000000304,22.0,2.674,0.2228333333333332
PC_GO_16,Cargo 1,MULTIPLA_5,0.8,0.05,31.732,31.599999999999433,30.0,1.732,0.2165
PC_GO_16,Cargo 1,MULTIPLA_5,0.8,0.1,29.774,29.59999999999949,28.0,1.774,0.22175
PC_GO_16,Cargo 1,MULTIPLA_5,0.8,0.2,26.792,26.5999999999996,25.0,1.792,0.224
PC_GO_16,Cargo 1,MULTIPLA_5,0.9,0.05,34.758,34.799999999999685,34.0,0.758,0.1895
PC_GO_16,Cargo 1,MULTIPLA_5,0.9,0.1,32.873,32.79999999999949,32.0,0.873,0.21825
PC_GO_16,Cargo 1,MULTIPLA_5,0.9,0.2,28.914,28.799999999999518,28.0,0.914,0.2285
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.5,0.05,57.524,54.0,54.0,3.524,0.5303793103448314
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.5,0.1,50.872,48.0,48.0,2.872,0.524758620689658
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.5,0.2,37.96,36.0,36.0,1.96,0.5168965517241397
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.6,0.05,66.568,63.0,63.0,3.568,0.5379574468085091
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.6,0.1,60.034,57.0,57.0,3.034,0.5322765957446802
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.6,0.2,44.766,43.0,43.0,1.766,0.5187872340425536
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.7,0.05,75.866,73.0,73.0,2.866,0.5409428571428585
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.7,0.1,67.216,65.0,65.0,2.216,0.5316571428571442
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.7,0.2,50.968,49.0,49.0,1.968,0.5281142857142865
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.8,0.05,86.544,84.0,84.0,2.544,0.5530000000000006
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.8,0.1,75.92,74.0,74.0,1.92,0.5399999999999998
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.8,0.2,57.172,56.0,56.0,1.172,0.5244166666666663
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.9,0.05,95.556,94.0,94.0,1.556,0.5648333333333341
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.9,0.1,84.996,84.0,84.0,0.996,0.5415000000000008
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.9,0.2,64.842,64.0,64.0,0.842,0.5350833333333339
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.05,51.529,50.8000000000007,42.0,9.529,0.2165681818181817
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.1,49.348,48.80000000000061,40.0,9.348,0.21245454545454565
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.2,45.432,44.80000000000041,36.0,9.432,0.21436363636363673
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.05,57.603,57.199999999999044,50.0,7.603,0.2111944444444443
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.1,54.723,54.19999999999916,47.0,7.723,0.21452777777777815
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.2,49.803,49.19999999999938,42.0,7.803,0.21675000000000014
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.05,63.563,63.400000000001015,58.0,5.563,0.20603703703703966
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.1,60.761,60.400000000000986,55.0,5.761,0.21337037037037324
