Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Medio,Eficiencia_Media
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.1,60.802,59.800000000001035,1.0019999999989668,0.22569230769230794
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.2,54.456,53.80000000000082,0.6559999999991778,0.21682051282051332
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.05,70.754,69.80000000000129,0.9539999999987049,0.23289655172413834
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.1,67.658,66.80000000000122,0.8579999999987776,0.22958620689655218
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.2,60.541,59.800000000001035,0.7409999999989668,0.22555172413793126
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.05,77.73,77.0,0.73,0.2364999999999998
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.1,73.59,73.0,0.59,0.22949999999999993
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.2,65.58,65.0,0.58,0.22899999999999995
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.05,84.38,84.0,0.38,0.23799999999999874
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.1,80.372,80.0,0.372,0.2371999999999994
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.2,71.272,71.0,0.272,0.2271999999999991
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.5,0.05,52.326,55.599999999999056,-3.273999999999054,0.13179166666666667
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.5,0.1,50.569,53.59999999999907,-3.030999999999069,0.13685416666666667
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.5,0.2,46.358,48.59999999999913,-2.241999999999127,0.15329166666666655
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.6,0.05,59.742,62.80000000000113,-3.058000000001128,0.1215897435897444
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.6,0.1,57.039,59.800000000001035,-2.761000000001033,0.12920512820512897
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.6,0.2,51.733,53.80000000000082,-2.067000000000822,0.14700000000000116
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.7,0.05,67.246,69.80000000000129,-2.5540000000012952,0.1119310344827583
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.7,0.1,64.444,66.80000000000122,-2.3560000000012224,0.11875862068965494
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.7,0.2,58.141,59.800000000001035,-1.6590000000010332,0.14279310344827564
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.8,0.05,75.128,77.0,-1.872,0.1063999999999996
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.8,0.1,71.295,73.0,-1.705,0.11474999999999945
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.8,0.2,63.688,65.0,-1.312,0.13439999999999955
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.9,0.05,83.004,84.0,-0.996,0.10039999999999978
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.9,0.1,79.104,80.0,-0.896,0.11039999999999946
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.9,0.2,70.286,71.0,-0.714,0.12859999999999935
PC_GO_16,Cargo 2,MULTIPLA_5,0.5,0.05,21.597,23.0,-1.403,0.1298499999999992
PC_GO_16,Cargo 2,MULTIPLA_5,0.5,0.1,20.919,22.0,-1.081,0.1459499999999997
PC_GO_16,Cargo 2,MULTIPLA_5,0.5,0.2,18.982,20.0,-1.018,0.14909999999999968
PC_GO_16,Cargo 2,MULTIPLA_5,0.6,0.05,24.188,25.200000000000447,-1.0120000000004474,0.13675
PC_GO_16,Cargo 2,MULTIPLA_5,0.6,0.1,23.352,24.200000000000436,-0.8480000000004365,0.147
PC_GO_16,Cargo 2,MULTIPLA_5,0.6,0.2,21.263,22.20000000000041,-0.9370000000004111,0.1414375
PC_GO_16,Cargo 2,MULTIPLA_5,0.7,0.05,27.39,28.400000000000468,-1.0100000000004692,0.1158333333333327
PC_GO_16,Cargo 2,MULTIPLA_5,0.7,0.1,26.542,27.400000000000432,-0.858000000000433,0.12849999999999975
PC_GO_16,Cargo 2,MULTIPLA_5,0.7,0.2,23.714,24.400000000000304,-0.6860000000003056,0.14283333333333323
PC_GO_16,Cargo 2,MULTIPLA_5,0.8,0.05,30.826,31.599999999999433,-0.7739999999994325,0.10325
PC_GO_16,Cargo 2,MULTIPLA_5,0.8,0.1,29.027,29.59999999999949,-0.5729999999994907,0.128375
PC_GO_16,Cargo 2,MULTIPLA_5,0.8,0.2,26.137,26.5999999999996,-0.46299999999959984,0.142125
PC_GO_16,Cargo 2,MULTIPLA_5,0.9,0.05,34.377,34.799999999999685,-0.4229999999996871,0.09425
PC_GO_16,Cargo 2,MULTIPLA_5,0.9,0.1,32.445,32.79999999999949,-0.35499999999949067,0.11125
PC_GO_16,Cargo 2,MULTIPLA_5,0.9,0.2,28.535,28.799999999999518,-0.2649999999995161,0.13375
PC_GO_16,Cargo 1,MULTIPLA_5,0.5,0.05,23.5,23.0,0.5,0.22500000000000053
