Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Medio
AL_CE_20,Cargo 2,MULTIPLA_5,0.8,0.1,30.303,30.59999999999946,-0.2969999999994616
AL_CE_20,Cargo 2,MULTIPLA_5,0.8,0.2,27.31,27.59999999999956,-0.28999999999955983
AL_CE_20,Cargo 2,MULTIPLA_5,0.9,0.05,35.564,35.79999999999978,-0.23599999999977445
AL_CE_20,Cargo 2,MULTIPLA_5,0.9,0.1,33.553,33.79999999999959,-0.24699999999959255
AL_CE_20,Cargo 2,MULTIPLA_5,0.9,0.2,29.668,29.79999999999951,-0.13199999999950887
AL_CE_20,Cargo 3,MULTIPLA_5,0.5,0.05,22.765,23.0,-0.235
AL_CE_20,Cargo 3,MULTIPLA_5,0.5,0.1,21.72,22.0,-0.28
AL_CE_20,Cargo 3,MULTIPLA_5,0.5,0.2,19.91,20.0,-0.09
AL_CE_20,Cargo 3,MULTIPLA_5,0.6,0.05,24.852,25.200000000000447,-0.34800000000044745
AL_CE_20,Cargo 3,MULTIPLA_5,0.6,0.1,24.015,24.200000000000436,-0.18500000000043657
AL_CE_20,Cargo 3,MULTIPLA_5,0.6,0.2,21.991,22.20000000000041,-0.20900000000041108
AL_CE_20,Cargo 3,MULTIPLA_5,0.7,0.05,28.038,28.400000000000468,-0.3620000000004693
AL_CE_20,Cargo 3,MULTIPLA_5,0.7,0.1,27.168,27.400000000000432,-0.23200000000043292
AL_CE_20,Cargo 3,MULTIPLA_5,0.7,0.2,24.128,24.400000000000304,-0.2720000000003056
AL_CE_20,Cargo 3,MULTIPLA_5,0.8,0.05,31.233,31.599999999999433,-0.3669999999994325
AL_CE_20,Cargo 3,MULTIPLA_5,0.8,0.1,29.387,29.59999999999949,-0.21299999999949068
AL_CE_20,Cargo 3,MULTIPLA_5,0.8,0.2,26.518,26.5999999999996,-0.08199999999959982
AL_CE_20,Cargo 3,MULTIPLA_5,0.9,0.05,34.522,34.799999999999685,-0.2779999999996871
AL_CE_20,Cargo 3,MULTIPLA_5,0.9,0.1,32.651,32.79999999999949,-0.14899999999949068
AL_CE_20,Cargo 3,MULTIPLA_5,0.9,0.2,28.721,28.799999999999518,-0.07899999999951615
AL_CE_20,Cargo 4,MULTIPLA_5,0.5,0.05,22.489,23.0,-0.511
