simulacao_id,letra_chutada,nota_liquida,acertos,erros
657,C,45,70,25
658,C,49,72,23
659,C,37,66,29
660,C,37,66,29
661,C,47,71,24
662,C,45,70,25
663,C,49,72,23
664,E,59,77,18
665,C,45,70,25
666,C,49,72,23
667,E,63,79,16
668,E,55,75,20
669,E,51,73,22
670,C,39,67,28
671,C,49,72,23
672,C,43,69,26
673,E,51,73,22
674,C,39,67,28
675,C,47,71,24
676,C,49,72,23
677,C,51,73,22
678,C,45,70,25
679,E,57,76,19
680,C,45,70,25
681,E,59,77,18
682,C,55,75,20
683,C,49,72,23
684,C,43,69,26
685,C,39,67,28
686,C,45,70,25
687,C,51,73,22
688,E,53,74,21
689,C,43,69,26
690,C,49,72,23
691,C,41,68,27
692,C,45,70,25
693,C,41,68,27
694,C,37,66,29
695,C,45,70,25
696,C,47,71,24
697,C,45,70,25
698,C,49,72,23
699,C,43,69,26
700,C,45,70,25
701,C,47,71,24
702,E,53,74,21
703,C,51,73,22
704,C,41,68,27
705,C,41,68,27
706,C,43,69,26
707,E,51,73,22
708,C,43,69,26
709,E,51,73,22
710,C,47,71,24
711,C,45,70,25
712,C,43,69,26
713,C,45,70,25
714,E,57,76,19
715,C,39,67,28
716,C,47,71,24
717,E,53,74,21
718,C,55,75,20
719,E,55,75,20
720,C,41,68,27
721,C,53,74,21
722,E,51,73,22
723,C,43,69,26
724,C,51,73,22
725,C,53,74,21
726,E,55,75,20
727,C,47,71,24
728,E,53,74,21
729,C,51,73,22
730,E,51,73,22
731,E,53,74,21
732,C,37,66,29
733,C,47,71,24
734,C,41,68,27
735,C,43,69,26
736,C,47,71,24
737,E,59,77,18
738,C,45,70,25
739,C,45,70,25
740,C,43,69,26
741,C,41,68,27
742,C,45,70,25
743,C,47,71,24
744,C,35,65,30
745,C,43,69,26
746,C,49,72,23
747,C,41,68,27
748,E,55,75,20
749,E,53,74,21
750,C,39,67,28
751,C,45,70,25
752,E,51,73,22
753,C,45,70,25
754,C,47,71,24
755,E,51,73,22
756,C,45,70,25
757,C,37,66,29
758,C,39,67,28
759,C,49,72,23
760,C,43,69,26
761,C,43,69,26
762,E,55,75,20
763,C,47,71,24
764,C,37,66,29
765,C,41,68,27
766,C,47,71,24
