Grupo,Conhecimento_Pct,Erro_Pct,Nota_Media_Final,Ganho_Medio
MULTIPLA_4,0.5,0.05,9.742,2.742
MULTIPLA_4,0.5,0.05,9.767,2.767
MULTIPLA_4,0.5,0.05,7.132,0.132
MULTIPLA_4,0.5,0.05,9.264,2.264
MULTIPLA_4,0.5,0.05,9.427,2.427
MULTIPLA_4,0.5,0.05,8.451,1.451
MULTIPLA_4,0.5,0.05,9.214,2.214
MULTIPLA_4,0.5,0.05,9.415,2.415
MULTIPLA_4,0.5,0.05,8.23,1.23
MULTIPLA_4,0.5,0.05,9.269,2.269
MULTIPLA_4,0.5,0.05,9.752,2.752
MULTIPLA_4,0.5,0.05,9.888,2.888
MULTIPLA_4,0.5,0.05,8.31,1.31
MULTIPLA_4,0.5,0.05,9.35,2.35
MULTIPLA_4,0.5,0.05,9.235,2.235
MULTIPLA_4,0.5,0.05,8.011,2.011
MULTIPLA_4,0.5,0.05,9.193,2.193
MULTIPLA_4,0.5,0.05,9.887,2.887
MULTIPLA_4,0.5,0.05,9.149,2.149
MULTIPLA_4,0.5,0.05,8.928,1.928
MULTIPLA_4,0.5,0.05,9.548,2.548
MULTIPLA_4,0.5,0.05,9.724,2.724
MULTIPLA_4,0.5,0.05,20.668,4.668
MULTIPLA_4,0.5,0.05,21.432,5.432
MULTIPLA_4,0.5,0.05,20.056,4.056
MULTIPLA_4,0.5,0.05,20.196,4.196
MULTIPLA_4,0.5,0.05,20.409,4.409
MULTIPLA_4,0.5,0.05,19.17,3.17
MULTIPLA_4,0.5,0.05,20.627,4.627
MULTIPLA_4,0.5,0.05,21.368,5.368
MULTIPLA_4,0.5,0.05,19.838,3.838
MULTIPLA_4,0.5,0.05,20.631,4.631
MULTIPLA_4,0.5,0.05,22.5,4.5
MULTIPLA_4,0.5,0.05,22.706,4.706
MULTIPLA_4,0.5,0.05,22.463,4.463
MULTIPLA_5,0.5,0.05,53.54,10.54
MULTIPLA_5,0.5,0.05,54.931,10.931
MULTIPLA_5,0.5,0.05,56.886,10.886
CERTO_ERRADO,0.5,0.05,39.08,2.08
CERTO_ERRADO,0.5,0.05,28.5,0.5
CERTO_ERRADO,0.5,0.05,47.264,2.264
CERTO_ERRADO,0.5,0.05,28.592,0.592
CERTO_ERRADO,0.5,0.05,28.698,0.698
MULTIPLA_5,0.5,0.05,34.753,6.753
CERTO_ERRADO,0.5,0.05,28.826,0.826
CERTO_ERRADO,0.5,0.05,30.75,2.75
CERTO_ERRADO,0.5,0.05,28.162,2.162
CERTO_ERRADO,0.5,0.05,29.428,1.428
CERTO_ERRADO,0.5,0.05,29.502,2.502
CERTO_ERRADO,0.5,0.05,30.71,2.71
CERTO_ERRADO,0.5,0.05,29.784,2.784
CERTO_ERRADO,0.5,0.05,29.664,2.664
CERTO_ERRADO,0.5,0.05,25.93,-2.07
CERTO_ERRADO,0.5,0.05,30.73,2.73
CERTO_ERRADO,0.5,0.05,29.674,1.674
CERTO_ERRADO,0.5,0.05,29.816,1.816
CERTO_ERRADO,0.5,0.05,29.796,1.796
CERTO_ERRADO,0.5,0.05,29.646,1.646
CERTO_ERRADO,0.5,0.05,29.744,2.744
CERTO_ERRADO,0.5,0.05,28.41,2.41
CERTO_ERRADO,0.5,0.05,29.078,2.078
CERTO_ERRADO,0.5,0.05,30.736,2.736
CERTO_ERRADO,0.5,0.05,29.104,2.104
CERTO_ERRADO,0.5,0.05,30.54,2.54
CERTO_ERRADO,0.5,0.05,25.372,-1.628
CERTO_ERRADO,0.5,0.05,30.592,2.592
CERTO_ERRADO,0.5,0.05,30.802,2.802
CERTO_ERRADO,0.5,0.05,28.074,1.074
CERTO_ERRADO,0.5,0.05,29.858,1.858
CERTO_ERRADO,0.5,0.05,28.84,0.84
CERTO_ERRADO,0.5,0.05,30.778,2.778
CERTO_ERRADO,0.5,0.05,29.184,2.184
CERTO_ERRADO,0.5,0.05,29.602,2.602
CERTO_ERRADO,0.5,0.05,25.398,-1.602
CERTO_ERRADO,0.5,0.05,26.054,-1.946
CERTO_ERRADO,0.5,0.05,28.42,2.42
CERTO_ERRADO,0.5,0.05,28.134,1.134
CERTO_ERRADO,0.5,0.05,29.322,2.322
CERTO_ERRADO,0.5,0.05,30.522,2.522
CERTO_ERRADO,0.5,0.05,30.206,2.206
CERTO_ERRADO,0.5,0.05,27.548,0.548
CERTO_ERRADO,0.5,0.05,25.888,-2.112
CERTO_ERRADO,0.5,0.05,22.55,-5.45
CERTO_ERRADO,0.5,0.05,29.22,2.22
CERTO_ERRADO,0.5,0.05,28.534,1.534
CERTO_ERRADO,0.5,0.05,30.5,2.5
CERTO_ERRADO,0.5,0.05,29.596,2.596
CERTO_ERRADO,0.5,0.05,30.428,2.428
CERTO_ERRADO,0.5,0.05,30.636,2.636
CERTO_ERRADO,0.5,0.05,29.012,2.012
CERTO_ERRADO,0.5,0.05,30.568,2.568
CERTO_ERRADO,0.5,0.05,29.176,2.176
CERTO_ERRADO,0.5,0.05,30.442,2.442
CERTO_ERRADO,0.5,0.05,29.02,2.02
CERTO_ERRADO,0.5,0.05,29.698,2.698
CERTO_ERRADO,0.5,0.05,15.864,-7.136
CERTO_ERRADO,0.5,0.05,28.69,1.69
CERTO_ERRADO,0.5,0.05,30.484,2.484
CERTO_ERRADO,0.5,0.05,25.418,-0.582
CERTO_ERRADO,0.5,0.05,28.628,0.628
CERTO_ERRADO,0.5,0.05,47.142,2.142
MULTIPLA_5,0.5,0.05,54.687,10.687
CERTO_ERRADO,0.5,0.05,46.648,1.648
MULTIPLA_4,0.5,0.05,22.899,4.899
MULTIPLA_5,0.5,0.05,32.509,6.509
MULTIPLA_5,0.5,0.05,31.57,3.57
MULTIPLA_5,0.5,0.05,34.006,7.006
MULTIPLA_5,0.5,0.05,33.869,5.869
MULTIPLA_5,0.5,0.05,35.386,7.386
MULTIPLA_5,0.5,0.05,32.91,6.91
MULTIPLA_5,0.5,0.05,32.12,6.12
MULTIPLA_5,0.5,0.05,33.447,5.447
MULTIPLA_5,0.5,0.05,34.843,6.843
MULTIPLA_5,0.5,0.05,34.515,6.515
MULTIPLA_5,0.5,0.05,34.297,6.297
MULTIPLA_5,0.5,0.05,30.639,3.639
MULTIPLA_5,0.5,0.05,34.723,6.723
MULTIPLA_5,0.5,0.05,12.295,2.295
CERTO_ERRADO,0.5,0.05,49.394,3.394
CERTO_ERRADO,0.5,0.05,29.724,2.724
MULTIPLA_4,0.5,0.05,24.7,5.7
MULTIPLA_4,0.5,0.05,23.675,4.675
MULTIPLA_5,0.5,0.05,23.757,4.757
CERTO_ERRADO,0.5,0.05,64.532,3.532
MULTIPLA_5,0.5,0.05,34.712,6.712
MULTIPLA_5,0.5,0.05,23.471,4.471
