Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Bruto,Ganho_Percentual,Eficiencia_Media
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.2,54.541,53.80000000000082,8.540999999999997,0.21899999999999992,0.21900000000000014
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.05,70.682,69.80000000000129,6.682000000000002,0.23041379310344834,0.23041379310344867
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.1,67.68,66.80000000000122,6.680000000000007,0.23034482758620714,0.23034482758620767
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.2,60.428,59.800000000001035,6.427999999999997,0.221655172413793,0.2216551724137936
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.05,77.682,77.0,4.682000000000002,0.2341000000000001,0.23410000000000003
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.1,73.601,73.0,4.600999999999999,0.23004999999999995,0.23004999999999998
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.2,65.538,65.0,4.537999999999997,0.22689999999999982,0.2269
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.05,84.512,84.0,2.5120000000000005,0.25120000000000003,0.25119999999999953
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.1,80.356,80.0,2.3559999999999945,0.23559999999999945,0.23559999999999973
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.2,71.298,71.0,2.298000000000002,0.22980000000000017,0.22979999999999937
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.5,0.05,52.44,55.599999999999056,6.439999999999998,0.13416666666666663,0.13416666666666666
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.5,0.1,50.672,53.59999999999907,6.671999999999997,0.13899999999999993,0.13900000000000015
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.5,0.2,46.386,48.59999999999913,7.386000000000003,0.15387500000000007,0.15387499999999985
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.6,0.05,59.714,62.80000000000113,4.713999999999999,0.12087179487179484,0.12087179487179577
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.6,0.1,57.058,59.800000000001035,5.058,0.1296923076923077,0.12969230769230847
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.6,0.2,51.758,53.80000000000082,5.758000000000003,0.1476410256410257,0.14764102564102696
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.7,0.05,67.109,69.80000000000129,3.1089999999999947,0.10720689655172395,0.10720689655172405
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.7,0.1,64.512,66.80000000000122,3.5120000000000005,0.12110344827586209,0.12110344827586177
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.7,0.2,58.033,59.800000000001035,4.033000000000001,0.13906896551724143,0.13906896551724088
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.8,0.05,75.123,77.0,2.1230000000000047,0.10615000000000023,0.1061499999999997
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.8,0.1,71.249,73.0,2.2489999999999952,0.11244999999999976,0.11244999999999938
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.8,0.2,63.643,65.0,2.6430000000000007,0.13215000000000005,0.1321499999999994
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.9,0.05,83.017,84.0,1.016999999999996,0.1016999999999996,0.10169999999999967
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.9,0.1,79.073,80.0,1.0729999999999933,0.10729999999999933,0.10729999999999963
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.9,0.2,70.295,71.0,1.2950000000000017,0.12950000000000017,0.12949999999999945
PC_GO_16,Cargo 2,MULTIPLA_5,0.5,0.05,21.71,23.0,2.710000000000001,0.13550000000000004,0.13549999999999918
PC_GO_16,Cargo 2,MULTIPLA_5,0.5,0.1,20.949,22.0,2.9490000000000016,0.14745000000000008,0.14744999999999922
PC_GO_16,Cargo 2,MULTIPLA_5,0.5,0.2,19.206,20.0,3.2059999999999995,0.16029999999999997,0.1602999999999996
PC_GO_16,Cargo 2,MULTIPLA_5,0.6,0.05,24.1,25.200000000000447,2.1000000000000014,0.1312500000000001,0.13125
PC_GO_16,Cargo 2,MULTIPLA_5,0.6,0.1,23.197,24.200000000000436,2.196999999999999,0.13731249999999995,0.1373125
PC_GO_16,Cargo 2,MULTIPLA_5,0.6,0.2,21.424,22.20000000000041,2.4239999999999995,0.15149999999999997,0.1515
PC_GO_16,Cargo 2,MULTIPLA_5,0.7,0.05,27.377,28.400000000000468,1.376999999999999,0.11474999999999991,0.1147499999999996
PC_GO_16,Cargo 2,MULTIPLA_5,0.7,0.1,26.559,27.400000000000432,1.559000000000001,0.12991666666666676,0.1299166666666664
PC_GO_16,Cargo 2,MULTIPLA_5,0.7,0.2,23.749,24.400000000000304,1.7489999999999988,0.1457499999999999,0.14574999999999963
PC_GO_16,Cargo 2,MULTIPLA_5,0.8,0.05,30.863,31.599999999999433,0.8629999999999995,0.10787499999999994,0.107875
PC_GO_16,Cargo 2,MULTIPLA_5,0.8,0.1,28.959,29.59999999999949,0.9589999999999996,0.11987499999999995,0.119875
PC_GO_16,Cargo 2,MULTIPLA_5,0.8,0.2,26.117,26.5999999999996,1.1170000000000009,0.1396250000000001,0.139625
PC_GO_16,Cargo 2,MULTIPLA_5,0.9,0.05,34.349,34.799999999999685,0.34899999999999665,0.08724999999999916,0.08725
PC_GO_16,Cargo 2,MULTIPLA_5,0.9,0.1,32.442,32.79999999999949,0.44200000000000017,0.11050000000000004,0.1105
PC_GO_16,Cargo 2,MULTIPLA_5,0.9,0.2,28.53,28.799999999999518,0.5300000000000011,0.13250000000000028,0.1325
PC_GO_16,Cargo 1,MULTIPLA_5,0.5,0.05,23.506,23.0,4.506,0.2253,0.2253000000000003
PC_GO_16,Cargo 1,MULTIPLA_5,0.5,0.1,22.436,22.0,4.436,0.2218,0.22179999999999994
PC_GO_16,Cargo 1,MULTIPLA_5,0.5,0.2,20.417,20.0,4.417000000000002,0.22085000000000007,0.22085000000000013
